Name,Age,Health Index,Family Size,family income
"Marshall,",958,0.9962475480022555,71,411570
"Eban,",28,0.2201250538429812,56,161801
"Abrams,",758,0.2999142598177523,52,1680390
"Knebel,",316,0.7031361193745109,51,233156
"James,",180,0.5348063277247006,0,1694351
"Hart,",837,0.6231832924717614,70,1034157
"Heinrich,",750,0.989652880413957,51,552689
"Lindsay,",625,0.8409303450691125,51,1788433
"Leacock,",445,0.8356959545730591,56,671420
"Elbert,",513,0.7970576288198779,42,321156
"Leonard Eugene,",847,0.08584864007993609,17,1416720
"Thomas,",1075,0.809310678093027,62,1589473
"Carter,",1123,0.8862273337815936,66,1383518
"Paul,",846,0.7182546229329947,50,167183
"Tom,",737,0.13912821783674967,19,140945
"Saint-Exupéry, Antoine de,",320,0.08458742999687863,43,902581
"Cowley,",1269,0.37851094712563405,75,523446
"Schopenhauer, Arthur,",188,0.41850204374395683,50,1488653
"Milovan,",690,0.22398856573191417,59,897620
"Sidiq,",896,0.2986188756920375,7,799766
"Phelps, Michael,",825,0.6272254353478791,12,905839
"Eric,",316,0.5354674223367788,49,1523240
"Roy, Arundhati,",144,0.6716481699136925,64,263835
"Davis,",427,0.8211593429443795,88,1449422
"Gauguin,",869,0.906446461832347,9,1206226
"Kevin,",1181,0.31357935199080256,20,1591339
"Hein,",146,0.1804404942188399,18,1297284
"Garry,",985,0.05303566780821933,86,658740
"Bob,",544,0.5068209433128155,72,41546
"Adi Ateca,",223,0.7777550123973277,67,427439
"Herbert,",5,0.7251001576943468,20,1415100
"Nikolai Vasilievich,",644,0.39151983751163966,23,86413
"Bertolt,",1079,0.01415113647147892,5,107396
"Richard,",88,0.11480812460797052,34,136338
"O.,",945,0.4429359231625457,6,1354282
"Janáček,",478,0.550210795235473,24,1114963
"Gerald,",208,0.59673151510196,28,1483047
"Henry Steele,",575,0.3397663371376022,6,1559123
"Elagabalus,",836,0.5089414129719104,32,1782151
"Alexander,",940,0.8446837596432608,41,1740828
"Pirsig, Robert M.,",98,0.6195689834239065,22,868730
"Forsyth,",1300,0.9456022124917204,57,336894
"Gaiman,",753,0.8027778818757456,32,1758399
"Mann,",1220,0.4202251226313044,33,494448
"Hans,",543,0.42216492537501604,56,250454
"George E.,",929,0.3752037787600726,52,420083
"Plath, Sylvia,",177,0.8877490719505298,59,819853
"Manson,",849,0.7146811753089283,27,1442669
"Charles,",841,0.9270369412757905,50,546111
"Mason,",1207,0.3597635319701359,71,1603365
"Gaulle,",21,0.8614069435696897,25,769107
"Oliver Wendell,",1189,0.12349764346562864,76,203757
"Charles,",309,0.3097983687053678,80,872637
"Andric,",475,0.303075227257552,77,558278
"Alton,",354,0.004043715267346704,22,1422000
"Neil,",1213,0.5565952703758109,58,1069856
"Ann,",949,0.41387319790865795,2,1797951
"Jim,",856,0.9631648501788405,30,1028892
"Davisson,",612,0.46279665850950014,12,984555
"King,",1076,0.2634526615733047,66,1085050
"Roy,",291,0.41467028941804485,23,248486
"Cray,",961,0.6612142628520482,18,1452851
"Denise,",409,0.025508028722249776,79,144826
"Milton,",536,0.3360969521340913,19,838856
"Dick,",392,0.6891349882800628,20,318639
"Cervantes,",1005,0.20564146717868548,81,1290864
"Dean,",950,0.8545573878640366,58,1261170
"Dan,",1133,0.42541607630923484,7,278695
"Braque,",503,0.5316212744935189,27,1009146
"Crimmins,",632,0.7767038514982507,69,1258100
"Hesse,",468,0.7359260237672842,0,513881
"Anatole,",443,0.9064220435914384,1,474337
"Kapuściński,",990,0.1748448426946636,16,452825
"Gallagher ,",993,0.26614663557979634,25,1597819
"Ratu Joni,",496,0.07770977651361433,38,1704843
"Donald,",783,0.9857175366793679,65,523146
"Leo X ,",1197,0.14698213648682956,77,1737348
"Adi Ateca,",1030,0.05983751535790616,2,1033818
"Simon,",801,0.7670472221337935,23,1024461
"Arnold M.,",313,0.4273709173811491,10,364201
"Denise,",85,0.27741364854883355,42,1509326
"John Collins,",359,0.2006670307594961,8,1602812
"James,",362,0.3543589524257422,86,379974
"Richard,",962,0.5695604393805875,34,95516
"Lubbock,",1067,0.8679265070899461,86,1654395
"La Rochefoucauld,",744,0.19240558935833652,53,1315323
"Juvenal,",418,0.8232464757214696,78,1594845
"Patton, George S.,",1171,0.7591627780081381,23,699811
"Lou,",449,0.17677344005905282,47,352023
"Faulkner,",1040,0.4429772288021414,33,831903
"Brian,",380,0.003946458304151967,0,1395600
"Thomas,",110,0.31269382406088364,64,840786
"Peter,",1139,0.7030141451043214,84,893839
"Garland,",448,0.4599613716511184,41,1487161
"Ishihara,",280,0.169058096519226,11,845434
"Jay,",981,0.9777888222063902,46,1206323
"Ralph Waldo,",198,0.541566757909869,77,600358
"Kelvin,",605,0.7407350148140814,49,1747108
"Hartley,",521,0.6465061325975012,63,1258567
"Damien,",101,0.10819593573532038,31,332647
"Horace,",108,0.292493618131754,33,1158715
"Huxley,",358,0.8945522864070662,14,606903
"W. C.,",779,0.5450317584885958,11,136281
"Carnegie,",304,0.3663576413776435,64,1462047
"Marcus Aurelius,",932,0.9991899273138036,78,350339
"Christie,",280,0.17611603002226506,66,879824
"William,",626,0.0019788232790276528,45,1399950
"Ingelow,",1091,0.9593084707442708,30,692228
"James,",830,0.047721092169906165,20,285245
"Pynchon, Thomas,",1059,0.8899364928410671,54,396566
"Anne,",13,0.4386242580768994,12,860472
"Hewitt,",767,0.5783655124063677,1,209718
"Cornstalk,",54,0.974455282790964,43,76795
"Scott,",1135,0.8102424507539735,8,1039452
"Rael,",994,0.5420679681471684,47,777169
"Shevardnadze,",83,0.8402851557106873,82,1294301
"Echols,",853,0.07575435603073888,27,1136239
"Beckett,",151,0.6408909981570398,57,1394657
"William,",185,0.8422816672958148,81,879056
"Green,",985,0.9448911494045803,12,1589604
"Bryan,",202,0.14327718398396927,17,753776
"Fischer,",63,0.7306332171777009,75,35135
"Robert,",652,0.938350149187146,12,923976
"Capone,",635,0.5668096830001133,6,1642266
"Samuel,",600,0.9199670548825617,34,703484
"Lindsey,",483,0.7175951810911296,38,308019
"Fielding,",1102,0.02976190156486025,23,1366706
"Bohr,",1241,0.5126379395374336,29,857980
"Pascal, Blaise,",1138,0.21469615209088277,64,312542
"Sharpton,",926,0.4716924480544489,87,1147801
"Naidu, Richard,",383,0.7642755616730476,74,955337
"Hayes,",579,0.6393861974636692,77,465645
"Elizabeth II of England,",92,0.3833461555327833,67,1485415
"Caroline,",1009,0.9066345569343791,87,206996
"Lessing,",999,0.10328478955598897,17,1448653
"Eggers,",51,0.18930063112895756,77,156998
"Niebuhr, Reinhold,",373,0.3056855072479028,28,1598558
"Bräutigam,",199,0.015710615835070274,86,285764
"W. S.,",452,0.46078608803137633,41,128935
"Seagal, Steven,",1036,0.5920263255056353,63,86773
"Brooks,",63,0.6281851104623477,34,436936
"Drucker,",176,0.16407160391109799,22,523263
"Heywood,",349,0.995070919134031,67,1577313
"Al,",1164,0.8541308126536523,28,533421
"Card,",4,0.7504894287958421,15,999333
"Charles,",481,0.1621442395602295,38,1722139
"Hofstadter,",1022,0.8840314795331037,83,981293
"Carolyn,",471,0.12595386268545572,24,223944
"Malda,",371,0.42973318503533753,10,1360622
"Knuth,",1,0.7002837429514461,75,460185
"George Bernard,",1081,0.5207287558374553,68,1508106
"Russell, Bertrand,",1152,0.022743342666763477,53,1311673
"Cornstalk,",1155,0.8804145488046965,76,20868
"Premchand, Munshi,",1131,0.3141323264514718,86,302871
"Goldwater,",206,0.1335246325380669,82,1281894
"Bracken,",820,0.16454010291441257,15,1222033
"Siegel,",310,0.14120852465454925,58,1107124
"Walt,",826,0.20707384027329923,77,538975
"Colten,",1062,0.7852622790831548,85,1195828
"Degas,",789,0.12652323898419915,39,168251
"Newton, Isaac,",1,0.5660730565109751,29,128845
"Andersen,",675,0.23590281547803682,77,359557
"Machiavelli,",418,0.901644895953146,69,1027093
"Keating,",155,0.3622484291869612,38,1760431
"Bryan,",869,0.1465045774542183,88,1256043
"Bräutigam,",497,0.6980947163246597,78,482882
"Goldwater,",594,0.21334210373639384,43,1669415
"Akinola,",238,0.16923318468306037,84,51767
"Sarven, Allen,",738,0.8544467764702487,15,93931
"Princess of Wales,",803,0.7630831069988524,20,1696042
"Marley,",291,0.9455904588469848,87,405253
"Kapell,",248,0.712971634307056,81,489896
"Davisson,",193,0.2700895505972736,16,962113
"Grudin,",343,0.6125478735466017,45,524745
"Jim,",372,0.14367246849378634,73,156455
"Adams,",487,0.24663070887553884,51,662632
"Thomas,",482,0.922137222004203,11,117098
"Aiken,",677,0.3311910869184549,32,1373425
"Michael,",966,0.5483065132678987,86,86890
"Rushton, Willie,",490,0.28158346168547266,69,532875
"Cordell,",1053,0.5759620577149783,48,1511962
"Eugene,",463,0.96360416305058,2,1533593
"Richard,",346,0.0791419587869443,64,1238544
"Marlowe,",894,0.8800238155907756,33,202985
"Munch, Edvard,",16,0.5068046411294693,4,43579
"Aaron,",797,0.8539611060118013,46,322155
"Buddha,",1298,0.13016388118907962,65,361431
"Dag,",1214,0.3584219094130312,23,533794
"Hemingway,",262,0.672171301246967,64,1418322
"Depew,",265,0.7939849087536232,71,905992
"Muhammad,",864,0.2532765225176544,39,168492
"Pierre,",448,0.5315607603481339,53,1190674
"Berry,",1012,0.1494784933210792,5,1571899
"W. C.,",996,0.8539744412073683,84,1368589
"Robert F.,",932,0.09383557743051318,2,350839
"Ratu Joni,",800,0.43509953833392856,29,719018
"Ishihara,",800,0.41086845241068837,78,1279006
"Bush,",144,0.6816432115770023,7,195500
"Martell,",405,0.04722251615898265,18,1097755
"Henry van,",340,0.12146832596857693,18,1031792
"Bune,",814,0.8560378611317567,73,1348939
"Thomas Alva,",118,0.04009141537420002,40,200069
"Tom,",314,0.3960410577888148,70,847095
"James,",130,0.22001538838513157,50,957943
"Lemmy,",1205,0.44378378776339744,22,1655201
"Elliott,",1195,0.5391106115440136,83,1195655
"Browne,",1171,0.6269422101471452,39,582747
"Gardel,",1105,0.798381728362976,46,1304783
"Matarazzo,",1030,0.13354268087485122,3,255173
"Kendrick,",475,0.2479976960803265,74,157114
"Bracken,",1112,0.06542140128912877,64,1472970
"Bogart,",810,0.5706095143422607,77,623534
"rnie,",243,0.03866189164982925,21,709137
"Kudlow,",1180,0.7973932125539124,74,1765253
"Allston,",815,0.9358841457983669,22,35036
"Russell, Nipsey,",490,0.05338887825341565,49,914923
"Roger,",351,0.9077230376703315,73,1627281
"Hatshepsut,",139,0.9841790594515907,42,1400860
"Petronius, Gaius,",793,0.00719831998561582,67,466818
"Laura,",547,0.6748070095488456,53,1318483
"James,",698,0.47955328079096693,86,970776
"Ratu Josefa,",1126,0.449767165136729,49,1351999
"Carter,",25,0.5065882236822118,57,373588
"Cameron,",471,0.7210266506249204,60,730599
"Devine,",1161,0.046272951025178144,38,497530
"PrincessRoyaloftheUnitedKingdom,",713,0.746848649260257,28,575505
"Samuel,",543,0.5492681670897755,67,967516
"Friedensreich,",967,0.6157781764316309,41,299494
"Cook,",124,0.029565231941603654,4,1217122
"Cohen,",205,0.1154909489722552,21,1371693
"Malley,",866,0.3241774476544428,26,295552
"Lebowitz,",1272,0.7063040288000524,47,696430
"Gwanghae-gun of Joseon,",413,0.3678764434682992,79,522966
"Henry,",1183,0.7996439380440206,56,251357
"Juárez,",1025,0.06546689932211447,58,158253
"Joseph,",621,0.8238176363720752,25,942691
"Hillary,",161,0.5545074608450782,24,1031663
"Johnny,",1280,0.9982669912187868,50,676735
"Adler,",1172,0.35527859799539396,11,1093017
"Andrew Dice,",704,0.32360610064048945,39,1317580
"Charley,",527,0.007280903927183613,55,1150488
"Alan,",828,0.13686660278925378,76,406903
"Barkley,",1071,0.82490461429504,53,270648
"Fermi,",1226,0.03432413464906281,31,955936
"Lebowitz,",203,0.8259294230104844,50,1024519
"Elliott,",784,0.782183690511496,18,1029720
"Ruhollah,",1012,0.33636723775053456,29,43337
"Hedges,",315,0.44166056702191836,29,1610498
"Muhammad,",527,0.517885103251409,39,638345
"José,",435,0.22294693522820863,4,254237
"Doherty,",378,0.43250562763480016,63,758101
"Paul,",246,0.4314951443673566,24,1789752
"Handy,",464,0.6078094507274383,11,546074
"Fred,",377,0.14683995296424845,28,177543
"Karel,",345,0.5508052628435859,3,1697509
"Shaw,",674,0.4488346473501009,39,1234467
"Allee,",1289,0.5026882708408392,29,460197
"Aiven,",1085,0.6743581425002123,33,357015
"William,",613,0.598676384598649,68,1653698
"Gabriel,",1195,0.39536508882621824,56,954405
"Beckett,",988,0.6067394788581553,0,1025093
"Carl,",1213,0.32760069958531834,4,1575177
"Mary I of England,",434,0.5634462581475633,4,1438906
"Carlin,",901,0.46473994013316344,15,715880
"DeShannon,",1240,0.20234881273082028,49,21542
"Anderson,",1163,0.587073197719413,36,1612670
"Bennett,",83,0.6640829367040627,25,1363268
"Jackson,",446,0.1520726003144255,23,1457385
"McNamara,",1048,0.25029253402074514,63,12996
"Kelly,",1022,0.23219080903081024,16,473776
"Kurt,",1139,0.7478993810512712,8,1595677
"Harry Emerson,",1241,0.22791414600521653,87,1441296
"Singer,",17,0.25194000329581856,76,240172
"Milligan, Spike,",288,0.8526045308818929,86,1707334
"Hugh,",1099,0.05823089957229155,62,652263
"Buffett,",1155,0.8847874702244675,32,852975
"Jarrett,",1136,0.33640723221667634,42,97783
"Jacques,",801,0.12312064631475272,54,192053
"Magee,",361,0.9743968838620856,22,939845
"Guitry,",781,0.6287795586513313,75,117164
"Nusrat Fateh Ali,",399,0.2732438091858368,70,405246
"Hilary,",1268,0.007557971075444425,19,441606
"Bonner,",1233,0.11238546180725617,73,1610095
"Ph-Pz,",1171,0.1872313895383707,42,910986
"Mannheim,",923,0.7226200438576958,7,145278
"Nathan,",604,0.12241370601447776,85,494374
"Mayfield,",254,0.22556960424745687,46,1165975
"Sh-So,",1257,0.13614688618538306,27,444273
"Lillian,",916,0.4624855853486276,84,1757806
"Benjamin,",1227,0.7258792740461157,33,623735
"Daniel,",1027,0.280654098358896,9,977173
"Eric,",399,0.12464822924722285,64,409409
"Day,",760,0.6977261923249176,45,190018
"Alcuin,",389,0.6184810241010279,22,42450
"Blanchett,",802,0.6181461135882081,64,63394
"Schlüter, Poul,",967,0.8003811865646012,66,234619
"Pasteur, Louis,",815,0.919592290816573,37,1114688
"Di-Du,",459,0.7043113591121397,72,1660300
"Howe,",849,0.6772206694991292,61,943445
"Hegel,",420,0.04547821661298457,59,1705438
"Paige, Satchel,",724,0.1576910220980069,44,564924
"Peter,",1180,0.5365737530478646,25,1483310
"Ganilau,",65,0.3040648025347955,39,1275829
"Browning,",158,0.013449066577897462,7,682347
"Hundertwasser,",77,0.34851692062817907,68,1223379
"Biondo,",204,0.551296720729352,67,1694306
"Marcus Aurelius,",957,0.5457815514812447,70,332634
"Henry,",1202,0.13677283232107507,47,372176
"Paul,",212,0.5573954804601156,62,1202932
"Machiavelli,",288,0.48107118749598565,67,412356
"Braun,",350,0.9589463198728526,21,199499
"Bibesco,",651,0.3138106731078232,29,1692368
"Congreve,",623,0.9523655180450759,82,693425
"Barker,",450,0.31098010665182474,35,1400282
"Marley,",1269,0.12638451073753143,38,1463806
"Paul,",473,0.662159956813845,80,91601
"Edmund,",503,0.24049326959447415,17,761117
"Hayes,",223,0.49454116008311244,74,1437229
"Simonides of Ceos,",985,0.1559602542248828,68,1024852
"MuhammedSaeed,",375,0.9705594082525537,88,539901
"Broun,",632,0.14322268603464727,73,1268888
"Gaulle,",303,0.48307687007477906,62,142726
"Victor,",89,0.9000525377383062,17,580194
"Kurt Donald,",1260,0.7090524511756151,63,828394
"Stephen,",1059,0.7007712476304727,39,1108672
"Charles,",1062,0.891452389743761,81,84385
"Bu-By,",1219,0.5609586143365632,63,1564056
"Yasunari,",893,0.341179453106075,83,1566648
"Jeffers,",916,0.542151430827325,2,1700682
"Duff,",676,0.26653363482367587,40,1706510
"Meister,",450,0.14525996066829017,37,1525113
"H. P.,",818,0.9265080846063258,81,1250399
"Gray,",459,0.606095946702015,77,610765
"Sir Robert,",919,0.5871043920086764,65,1044893
"Mandela,",191,0.9784229147484753,30,517394
"Fran,",463,0.8562029529811415,51,1452222
"Burnett,",223,0.13746174046713433,79,305215
"Heschel,",1021,0.9932266888589193,45,1604974
"Jeff,",304,0.24027008148618811,50,661522
"Di-Du,",286,0.45638719194896826,40,642915
"William Lloyd,",1108,0.24334910470286908,55,91095
"Dijkstra,",480,0.009097865012750228,74,263725
"Escher,",246,0.5984276748726409,66,1104566
"Loo,",170,0.8119927858920082,58,867339
"Ralston,",1271,0.7411046916206021,1,552429
"Alp,",632,0.40718494094935864,69,1019736
"Favre,",854,0.16055460352943873,30,475186
"Brandon,",474,0.473360973981102,64,1218845
"Christian,",1277,0.21153978854115174,49,1671721
"Sandra,",141,0.9935208265401967,76,1263571
"Thomas Babington,",588,0.9579157035211306,85,1133063
"Cyril,",1159,0.024540353931884584,39,1127851
"Capone,",112,0.7418899731994395,29,1395003
"Brooks,",640,0.1955719470232089,53,86320
"Fitzgerald,",341,0.26754866190345117,2,17633
"Bob,",380,0.06482969895118673,56,262218
"Jay,",806,0.8114833147356975,33,221703
"Thomas,",1022,0.2528622420981952,37,1454080
"Arthur C.,",831,0.339252500274139,7,1536015
"George,",392,0.6085685685906629,55,1366911
"Paul, Ron,",766,0.9928143263265087,19,1096719
"Luther,",231,0.5005637268436257,45,1756001
"Andric,",270,0.20918871291520036,39,1682669
"Julian ,",662,0.30515511903032577,0,323964
"Frist,",892,0.22781958073780706,31,1433258
"Fitzgerald,",140,0.35768129719869013,20,1201795
"Lloyd,",89,0.8586653624080637,27,409756
"Romeo,",730,0.8774693214946553,13,1028406
"Jelinek,",1174,0.8648399255775383,63,497545
"Curtis,",68,0.58462341422804,82,237513
"Cho,",462,0.33757123585610327,22,1254232
"Belloc,",525,0.6100753975465559,87,1046215
"Chappelle,",460,0.554320102868651,2,1341272
"Jones,",997,0.2303791637647732,4,1030930
"Jobs,",826,0.4684242582419079,76,1455016
"Leonard,",231,0.9959410425576681,7,88699
"Scott,",345,0.19853823707255513,2,687734
"Guevara,",1212,0.09526309626954976,42,649102
"Berio,",658,0.7474108073174716,57,1586644
"Richard E.,",179,0.9967733069082487,58,1679195
"Ellington,",132,0.8035924887470062,41,1397986
"Jean-Louis,",1289,0.3908883646323116,38,1133619
"Lloyd,",258,0.3398927671345836,54,813960
"Koons,",938,0.9244874472784667,56,31904
"Kay,",1222,0.004591060229216737,29,1721244
"Feynman,",1269,0.2661744145025088,78,701724
"Audrey,",745,0.29683787040899723,81,920214
"Kerry,",718,0.012928783386636722,40,748046
"McClary,",1008,0.8284321791665924,29,1407884
"Bai,",250,0.9273709434911418,1,559845
"Parton, Dolly,",757,0.9998156990703039,69,409736
"Fred,",702,0.10627888502873295,40,1785267
"Collison,",8,0.9645730120995241,57,793422
"Early,",291,0.2080089662254695,20,1680505
"William Ellery,",443,0.2661251293185213,25,1207410
"Boethius,",1065,0.7922240097794061,33,283205
"William Andrew Cicil,",1071,0.5450024856240128,2,381255
"Philip Kindred - a.k.a. PKD,",900,0.39769379776054203,61,468537
"Franck,",631,0.8941616662669875,15,1471480
"Coward,",833,0.09873439142282192,64,1144266
"Ashley,",492,0.8593720053090979,28,1332136
"Gaius Valerius,",1110,0.42494265177586954,86,1103514
"Lewis,",93,0.2941890095032772,9,1127043
"Moore, Tim,",1201,0.15283421451910195,57,886122
"Lessig,",801,0.46211347709976125,0,483660
"Jesse,",134,0.9091608759262408,87,94479
"Gibbon,",1121,0.07235937545070403,70,1343214
"Peter,",941,0.0914979991013497,25,684308
"Mortimer, John,",214,0.33777547290924415,27,254346
"Damon,",178,0.021544933164436064,87,397748
"Coleridge,",400,0.012367118908040209,49,1229502
"Cheever,",365,0.573089979444614,77,1240603
"Darrow,",647,0.4700208517422929,71,110087
"Haley,",317,0.19263413152346764,87,487980
"Alexie,",955,0.8181565719163703,43,317380
"James,",1167,0.9502963033753609,6,849647
"Agnew,",816,0.12794682663975843,72,1052528
"Friedman,",1022,0.740581751997041,19,1111927
"Lillian,",1093,0.9963460597411676,43,1619412
"Pet Shop Boys ,",742,0.9234802832231616,32,74116
"Peirce, Charles Sanders,",71,0.09898251436429861,78,78718
"J. William,",620,0.6026115112660889,13,330674
"Anthony,",995,0.463496710066874,12,1173793
"Robert,",1196,0.12468654399134438,21,273129
"Laurer,",408,0.21835447886191506,8,1063585
"Richard,",1015,0.2304728086716249,5,494335
"Miller, Alex,",412,0.7320160850001921,20,833144
"Morley, Christopher,",493,0.5586787365359188,50,1367212
"Raskin, Jef,",609,0.3673281864748261,76,1040343
"Stanislaw Jerzy,",17,0.5433957237813513,29,919482
"Joe,",915,0.7907978759952595,83,1041652
"Anthony,",1046,0.049037332310731596,17,228724
"Shaw,",219,0.03707161723693875,22,782297
"Marjaney,",965,0.9805072287251959,10,826973
"Badnarik,",280,0.34673601323328185,42,1748568
"Pinker, Steven,",764,0.038535412476905395,34,73797
"Dirksen,",1103,0.5152796329491486,74,1697073
"Friedrich Gottlieb,",677,0.1050971173463684,17,1502893
"Mussolini, Benito,",899,0.4678506865331956,39,108718
"Zack,",819,0.7398970288188093,18,1071123
"Muir, John,",505,0.818314837822489,47,808548
"Nigel,",815,0.08294460344400323,13,1039410
"Julián,",82,0.02228422602020641,1,1320399
"Terry,",941,0.3106325316908901,81,307798
"Ma-Mar,",349,0.2684511509599451,13,1015897
"Ralston,",785,0.7953096108783378,41,748176
"Will,",533,0.4334686768228605,72,463233
"Larry,",721,0.16264381198979405,11,674967
"Erasmus,",325,0.4454397191163464,62,996635
"Byrd,",1293,0.8508936372170224,49,742795
"Ashleigh,",1041,0.543391530931664,9,1072106
"Kuriyama,",175,0.9508350194493598,72,1512169
"Teresa Heinz,",863,0.2797518731944737,55,225704
"Jacob,",419,0.7355359594340896,35,1452308
"Carlson,",528,0.8432233302451516,66,1400831
"Albert,",423,0.0960992056171186,7,1158665
"Booth,",536,0.48551121279949294,68,253889
"Sade, Donatien de,",469,0.7025332316738567,82,1241488
"Willa,",310,0.712934960976468,39,1387494
"Christian,",1140,0.2715207910620687,9,1562108
"Georg Christoph,",658,0.7824913792989641,27,1450837
"Dean,",714,0.3278593527686047,37,1130367
